UF.1, Ability to use basic Monte Carlo and LHS methods, SP, M, Implemented, `qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html>`_,`eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html>`_,`weuq-0001 <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0001/README.html>`_,`hdro-0001 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0001/README.html>`_,`pbdl-0001 <https://nheri-simcenter.github.io/PBE-Documentation/common/user_manual/examples/desktop/pbdl-0001/README.html>`_,`r2d <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/examples/desktop/E3PhysicsBasedGroundMotions/README.html>`_
UF.2, Ability to use Gaussian Process Regression, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/SimCenterUQMF.html#lblsimforwardmf>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQMF.html#lblsimforwardmf>`_,NA,NA,NA,NA
UF.3, Ability to use Multi-Scale Monte Carlo, SP, M, _, _, _, _, _, _, _
UF.4, Ability to use Multi-Fidelity Models, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/SimCenterUQMF.html#lblsimforwardmf>`_,`eeuq-0011 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0011/README.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQMF.html#lblsimforwardmf>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/SimCenterUQMF.html#lblsimforwardmf>`_,NA,NA
UF.5, Ability to use Multi-model Forward Propagation, UF,D, Implemented,`qfem-0027 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0027/README.html>`_,`eeuq-0008 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0008/README.html>`_,`weuq-0001 <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0001/README.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/FEM.html>`_,NA,NA
UR.1, Ability to use First Order Reliability method, SP, M, Implemented,`qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html#reliability-analysis>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,NA,NA
UR.2, Ability to use Second Order Reliability method, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/DakotaReliability.html#lbldakotareliability>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,NA,NA
UR.3, Ability to use Surrogate Based Reliability, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/DakotaReliability.html#lbldakotareliability>`_,`eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html#reliability-analysis>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,NA,NA
UR.4, Ability to use Importance Sampling, SP, M, Implemented,`UM <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/usage/desktop/DakotaReliability.html#lbldakotareliability>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaReliability.html>`_,NA,NA
UG.1, Ability to obtain Global Sensitivity Sobol indices, UF, M, Implemented,`qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html#reliability-analysis>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/DakotaSensitivity.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/DakotaSensitivity.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaSensitivity.html>`_,NA,NA
UG.2, Ability to use probability model-based global sensitivity analysis (PM-GSA), SP, M, Implemented,`qfem-0009 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0009/README.html>`_,`UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQSensitivity.html>`_,`UM <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQSensitivity.html>`_,`UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/DakotaSensitivity.html>`_,NA,NA
