**ANA.1**, **Ability to select from different Nonlinear Analysis options**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, 
ANA.1.1, Ability to specify OpenSees as FEM engine and to specify different analysis options, SP, M, Implemented, N/A, `eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html>`_, _, _, _, _, 
ANA.1.2, Ability to provide own OpenSees Analysis script to OpenSees engine, SP, D, Implemented, N/A, `eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html>`_, _, _, _, _, 
ANA.1.3, Ability to provide own Python script and use OpenSeesPy engine, SP, D, _, N/A, _, _, _, _, _, 
ANA.1.4, Ability to use alternative FEM engines, SP, M, _, N/A, _, _, _, _, _, 
ANA.2, Ability to know if an analysis run fails, UF, M, _, _, _, _, _, _, _, 
**ANA.3**, **Ability to specify Modal Damping**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, **_**, 
ANA.3.1, Ability to specify damping ratio as a random variable, UF, M, Implemented, N/A, `UM <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/SIM.html#multiple-degrees-of-freedom-mdof>`_, _, _, _, _, _
ANA.3.2, "When using Rayleigh Damping, ability to specify the two modes used to calculate damping parameters", UF, M, Implemented, N/A, `eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html>`_, `weuq-0001 <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0001/README.html>`_, `UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/FEM.html>`_, `UM <https://nheri-simcenter.github.io/PBE-Documentation/common/user_manual/usage/desktop/FEM.html>`_, `E2 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/examples/desktop/E2MDOFBuildingResponse/README.html>`_,
ANA.4, Ability to run for more than 60 hours at DesignSafe, UF, D, _, N/A, _, _, _, _, _, 
ANA.5, Ability to specify the number of iterations in convergence test, UF, M, Implemented, N/A, `eeuq-0001 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0001/README.html>`_, `weuq-0001 <https://nheri-simcenter.github.io/WE-UQ-Documentation/common/user_manual/examples/desktop/weuq-0001/README.html>`_, `UM <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/FEM.html>`_, `UM <https://nheri-simcenter.github.io/PBE-Documentation/common/user_manual/usage/desktop/FEM.html>`_, `E2 <https://nheri-simcenter.github.io/R2D-Documentation/common/user_manual/examples/desktop/E2MDOFBuildingResponse/README.html>`_, 
ANA.6, Ability to use multiple analysis options, SP, M, Implemented, , `eeuq-0008 <https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/examples/desktop/eeuq-0008/README.html>`_,,,,,
