"EE.1", "Ability to select from Earthquake Loading Options listed in EL2","SP", "M", "Implemented", -, -, -, -, -, -
"EE.2", "Ability to select from Building Modeling Options listed in MOD under BM","SP", "M", "Implemented", -, -, -, -, -, -
"EE.3", "Ability to select from nonlinear analysis options listed in ANA","SP", "M", "Implemented", -, -, -, -, -, -
"**EE.4**", "**Ability to use Various UQ Methods and Variable Options**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"EE.4.1", "Ability to use Forward Propagtion methods listed in UQ under UF","SP", "M", "Implemented", -, -, -, -, -, -
"EE.4.2", "Ability to use Random Variable Distributions defeined in RV","SP", "M", -, -, -, -, -, -, -
"EE.4.3", "Ability to use Reliability Methods listed in UQ under UR","SP", "M", "Implemented", -, -, -, -, -, -
"EE.4.4", "Ability to use Global Sensitivity Methods listed in UQ under UG","SP", "M", "Implemented", -, -, -, -, -, -
"EE.4.5", "Ability to both use and create surrogates listed in UQ under US","SP", "M", -, -, -, -, -, -, -
"EE.4.6", "Ability to use High Dimensional UQ listed in UQ under UH","SP", "M", -, -, -, -, -, -, -
"**EE.5**", "**Ability to Visualize the Results**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"EE.5.1", "Ability to view individual sample results","SP", "M", "Implemented", -, -, -, -, -, -
"EE.5.2", "Ability to graphically view the results to show distribution in respone","SP", "M", "Implemented", -, -, -, -, -, -
"**EE.6**", "**Misc User Requests**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"EE.6.1", "Add to Standard Earthquake a variable indicating analysis failure","UF", "D", -, -, -, -, -, -, -
"EE.6.3", "Run application from command line, include option to run remotely","UF", "D", -, -, -, -, -, -, -
"**EE.7**", "**General Software Requirements**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"EE.7.1", "Application to Provide Common SimCenter Research Application Requirements listed in CR","GC", "M", "InProgresss", -, -, -, -, -, -
"**EE.8**", "**Tool should incorporate data from www**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"EE.8.1", "Tool should obtain motion input data from www","SP", "M", "Implemented", -, -, -, -, -, -
"EE.8.2", "Tool should obtain building modelling info from database through www","SP", "D", -, -, -, -, -, -, -
"H.1", "Quantification of flood-borne debris hazards","GC", "M", -, -, -, -, -, -, -
"H.2", "Effects of over-land flow, including waves, debris, flood velocity, wind-driven influences, erosion effects at buildings and channeling effects of the built environment","GC", "D", -, -, -, -, -, -, -
"H.3", "Ability to select from all Loading Options listed in HL2","SP", "M", "InProgress", -, -, -, -, -, -
"H.4", "Ability to select from Building Modeling Options listed in MOD under BM","SP", "M", "InProgress", -, -, -, -, -, -
"H.5", "Include ability to perform nonlinear analysis on the building models listed in ANA","SP", "M", "InProgress", -, -, -, -, -, -
"**H.6**", "**Ability to use Various UQ Methods and Variable Options**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"H.6.1", "Ability to use Forward Propagtion methods listed in UQ under UF","SP", "M", "InProgress", -, -, -, -, -, -
"H.6.2", "Ability to use Random Variable Distributions defeined in RV","SP", "M", -, -, -, -, -, -, -
"H.6.3", "Ability to use Reliability Methods listed in UQ under UR","SP", "M", "InProgress", -, -, -, -, -, -
"H.6.4", "Ability to use Global Sensitivity Methods listed in UQ under UG","SP", "M", "InProgress", -, -, -, -, -, -
"H.6.5", "Ability to both use and create surrogates listed in UQ under US","SP", "M", -, -, -, -, -, -, -
"H.6.6", "Ability to use High Dimensional UQ listed in UQ under UH","SP", "M", -, -, -, -, -, -, -
"**H.7**", "**Ability to Visualize the Results**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"H.7.1", "Ability to view individual sample results","SP", "M", "InProgress", -, -, -, -, -, -
"H.7.2", "Ability to graphically view the results to show distribution in respone","SP", "M", "InProgress", -, -, -, -, -, -
"**H.8**", "**Misc User Requests**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"H.8.1", "Ability to quickly model experimental tests perform in OSU wave tank","UF", "M", -, -, -, -, -, -, -
"**H.9**", "**General Software Requirements**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"H.9.1", "Application to Provide Common SimCenter Research Application Requirements listed in CR","GC", "M", "InProgresss", -, -, -, -, -, -
"**H.10**", "**Tool should incorporate data from www**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"H.10.1", "Tool should use satelite imagery in aid of determine channeling effect","SP", "D", -, -, -, -, -, -, -
"H.10.2", "Tool should use satelite imagery in aid of determining amount of debris","SP", "D", -, -, -, -, -, -, -
"H.10.3", "Tool should obtain building modelling info from database through www","SP", "D", -, -, -, -, -, -, -
"**PBE.1**", "**Ability to determine  damage and loss for multiple different hazards**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.1.1", "Damage and Loss due to ground shaking from Earthquake","GC", "M", "Implemented", -, -, -, -, -, -
"PBE.1.2", "Damage and Loss due to Wind Loading","GC", "M", "InProgress", -, -, -, -, -, -
"PBE.1.3", "Damage and Loss due to water damage from Tsunami or Coastal Inundation","GC", "M", -, -, -, -, -, -, -
"**PBE.2**", "**Ability to Select from Different Hazard Options**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.2.1", "Ability to select from all EE-UQ Event Options listed in EE-UQ","SP", "M", "Implemented", -, -, -, -, -, -
"PBE.2.2", "Ability to select from all WE-UQ Event Options listed in WE-UQ","SP", "M", -, -, -, -, -, -, -
"PBE.2.3", "Ability to select from all HydroUQ Event Options listed in Hydro-UQ","SP", "M", -, -, -, -, -, -, -
"**PBE.3**", "**Ability to use different Model Generation Tools**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.3.1", "Ability to Select All Building Model Generators in EE-UQ","SP", "M", "Implemented", -, -, -, -, -, -
"PBE.3.2", "Ability to Select All Building Model Generators in WE-UQ","SP", "M", -, -, -, -, -, -, -
"PBE.3.3", "Ability to Select All Building Model Generators in HydroUQ","SP", "M", -, -, -, -, -, -, -
"**PBE.4**", "**Ability to use Various UQ Methods and Variable Options**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.4.1", "Ability to use all forward propagation methods available in EE-UQ, WE-UQ and HydroUQ","SP", "M", "Implemented", -, -, -, -, -, -
"PBE.4.2", "Ability to use all random variable distributions in EE-UQ, WE-UQ and HydroUQ","SP", "M", "Implemented", -, -, -, -, -, -
"PBE.4.3", "Ability to use train surrogate models using the methods from quoFEM","SP", "D", -, -, -, -, -, -, -
"**PBE.5**", "**Ability to determine damage and loss utilizing different methods**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.5.1", "Interface with pelicun to make available its suite of methods for damage and loss assessment for buildings","SP", "M", "Implemented", -, -, -, -, -, -
"**PBE.6**", "**Misc User Requests**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.6.1", "Ability to Process own Output Parameters","UF", "D", -, -, -, -, -, -, -
"PBE.6.2", "Add to Standard Earthquake a variable indicating analysis failure","UF", "D", -, -, -, -, -, -, -
"PBE.6.3", "Allow users to provide their own set of EDPs for the analysis.","UF", "D", "Implemented", -, -, -, -, -, -
"PBE.6.4", "Simplify run local and run remote by removing workdir locations. Move to preferences","UF", "D", "Implemented", -, -, -, -, -, -
"PBE.6.5", "Add to EDP a variable indicating analysis failure","UF", "D", -, -, -, -, -, -, -
"PBE.6.6", "Enable saving and loading Performance Models in CSV files","UF", "D", "Implemented", -, -, -, -, -, -
"**PBE.7**", "**General Software Requirements**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**", "**-**"
"PBE.7.1", "Application to Provide Common SimCenter Research Application Requirements listed in CR","GC", "M", "InProgresss", -, -, -, -, -, -
"PBE.7.2", "Ability to use new vizualization tools for viewing large datasets generated by PBE","GC", "M", "Implemented", -, -, -, -, -, -
