"UF.1", "Ability to use basic Monte Carlo and LHS methods","SP", "M", "Implemented", ":qfem-0001:`/`", ":eeuq-0001:`/`", ":pbdl-0001:`/`"
"UF.2", "Ability to use Importance Sampling","SP", "M", "Implemented", "-", "-", "-"
"UF.3", "Ability to use Gaussian Process Regression","SP", "M", "Implemented", "-", "-", "-"
"UF.4", "Ability to use Own External UQ Engine","SP", "M", "-", "-", "-", "-"
"UF.5", "Ability to use Multi-Scale Monte Carlo","SP", "M", "-", "-", NA, NA
"UF.6", "Ability to use Multi-Fidelity Models","SP", "M", "-", "-", NA, NA
"UR.1", "Ability to use First Order Reliability method","SP", "M", "Implemented", ":qfem-0003:`/`", "-", "-"
"UR.2", "Ability to use Second Order Reliability method","SP", "M", "Implemented", "-", "-", NA
"UR.3", "Ability to use Surrogate Based Reliability","SP", "M", "Implemented", "-", "-", NA
"UG.1", "Ability to obtain Global Sensitivity Sobol indices","UF", "M", "Implemented", "-", "-", "-"
"UG.2", "Ability to use probability model-based global sensitivity analysis (PM-GSA)","SP", "M", "Implemented", "-", "-", "-"
"US.1", "Ability to Construct Gaussian Process (GP) Regression Model from a Simulation Model","SP", "M", "InProgress", "-", "-", "-"
"US.2", "Ability to Construct GP Regression Model from Input-output Dataset","SP", "M", "InProgress", "-", "-", "-"
"US.3", "Ability to use Surrogate Model for UQ Analysis","SP", "M", "InProgress", ":qfem-0015:`/`", "-", "-"
"US.4", "Ability to Save the Surrogate Model","SP", "M", "InProgress", "-", "-", "-"
"US.5", "Ability to Use Adaptive Design of Experiments","SP", "M", "InProgress", "-", "-", "-"
"US.6", "Ability to Asses Reliability of Surrogate Model","SP", "M", "InProgress", "-", "-", "-"
"US.7", "Ability to Build Surrogate Under Stochastic Excitation","SP", "M", "-", "-", "-", "-"
"US.8", "Ability to Use Physics-Informed Machine Learning","SP", "M", "-", "-", "-", "-"
"UN.1", "Ability to use Gauss-Newton solvers for parameter estimation","SP", "M", "Implemented", "-", NA, NA
"UN.2", "Ability to read calibration data from file","UF", "M", "InProgress", "-", NA, NA
"UN.3", "Ability to handle non-scalar response quantities","UF", "M", "InProgress", "-", NA, NA
"UB.1", "Ability to use DREAM algorithm for Bayesian inference","SP", "M", "InProgress", "-", NA, NA
"UB.2", "Ability to use TMCMC algorithm for Bayesian inference","SP", "M", "Implemented", "-", NA, NA
"UB.3", "Ability to read calibration data from file","UF", "M", "InProgress", "-", NA, NA
"UB.4", "Ability to handle non-scalar response quantities","UF", "M", "InProgress", "-", NA, NA
"UB.5", "Ability to calibrate multipliers on error covariance","UF", "M", "-", "-", NA, NA
"UB.6", "Ability to use a default log-likelihood function","UF", "M", "-", "-", NA, NA
"UB.7", "Ability to use Kalman Filtering","UF", "M", "-", "-", NA, NA
"UB.8", "Ability to use Particle Filtering","UF", "M", "-", "-", NA, NA
"UH.1", "Ability to sample from manifold","SP", "M", "-", "-", NA, NA
"UH.2", "Ability to build Reduced Order Model","SP", "M", "-", "-", NA, NA
"UO.1", "Ability to use User-Specified External UQ Engine","SP", "M", "Implemented", "-", "-", "-"
"UO.2", "Ability to use Own External FEM Application","UF", "M", "Implemented", "-", "-", "-"
"UM.1", "Ability to use various Reliability Methods", "-", "-", "-", "-", "-", "-"
"UM.1.1", "Ability to use First Order Reliability method","UF", "M", "2.1", ":qfem-0003:`/`", NA, NA
"UM.1.2", "Ability to use Surrogate Based Reliability","UF", "M", "-", "-", NA, NA
"UM.1.3", "Ability to use Own External Application to generate Results","UF", "M", "2.2", "-", NA, NA
"UM.2", "Ability to user various Sensitivity Methods", "-", "-", "-", "-", "-", "-"
"UM.2.1", "Ability to obtain Global Sensitivity Sobol's indices","UF", "M", "-", "-", NA, NA
