label_in_user_interface,key_in_json_file,data_type,description,default_value,example_value,constraints,seealso_text,seealso_link,seealso_description
Number of Samples,samples,Int,"When the number of simulation runs reaches the limit, the analysis will be terminated.",150,,,,,
Max Computation Time (minutes),timeLimit,PositiveDouble,"When the tolerance limit of the computation time is reached, the analysis will be terminated. There will be a few minutes of error.",60,,,,,
Target Accuracy (normalized err),accuracyLimit,PositiveDouble,The target accuracy is defined in terms of normalized root-mean-squared error (NRMSE) estimated by leave-out-one cross-validation (LOOCV).,0.02,,,,,
Random Seed,seed,PositiveInt,Seed of the random number generator,a random integer,,,,,
Parallel Execution,parallelExecution,Bool,This engine implemented multiprocessing (local) or mpi4py (remote) python packages to run parallel execution.,checked,,,,,
Advanced Options for Gaussian Process Model,advancedOpt,Bool,"If unchecked, default values will be used",unchecked,,,,,
Kernel Function,kernel,ComboBox,"Correlation function for Gaussian process regression. Matern5/2 function is the default, and Matern3/2, Radial Basis, and Exponential functions (exponent) are additionally supported. ",Matern5/2,,,,,
Add Linear Trend Function,linear,Bool,"When increasing or decreasing trend is expected over the variables domain, a linear trend function may be introduced. ",unchecked,,,,,
Log-space Transform of QoI,logTransform,Bool,"When the user can guarantee that the response quantities are always greater than 0, user may want to introduce a surrogate model in log-transformed space of QoI. ",unchecked,,,,,
DoE Options,DoEmethod,ComboBox,Design of Experiment method,none,,,,,
Initial DoE #,initialDoE,PositiveInt,The number of the initial DoE,4 x #RV,,,,,
Nugget Variances,nuggetOpt,ComboBox,User may define nugget variances or bounds of the nugget variances if needed. ,Optimize,,,,,
Nugget Values/Bounds,nuggetString,IntList or ListList,User-defined nugget variances or bounds,,,,,,
# samples to be replicated (A),numSampToBeRepl,PositiveInt,"From the number of unique samples specified in the 'Number of Samples' field, decide how many of them will have replications.",8 x #RV,,,,,
# replications per sample (B),numRepl,PositiveInt,Specify how many replications will be generated for the number of samples specified in A.,10,,,,,
Start with Existing Dataset,existingDoE,Bool,"If unchecked, no existing dataset is utilized",checked,,,,,
Training Points (Input RV),inpFile,Str,Full path to the file containing training points (samples of RV),,,,https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQSurrogate.html,,
System Responses (Output QoI),outFile,Str,Full path to the file containing system responses (samples of QoI) corresponding to the specified training points,,,,https://nheri-simcenter.github.io/EE-UQ-Documentation/common/user_manual/usage/desktop/SimCenterUQSurrogate.html,,
Advanced Options (Earthquake specific),none,Bool,"If unchecked, default values will be used",unchecked,,,,,
Input postprocess,none,ComboBox,Ground motion pre-processing for surrogate model training,Ground Motion Intensity,,,,,
IM,IntensityMeasure,ComboBox,"The user can select intensity measures (IMs) that will be used as auxiliary inputs of the surrogate model, in addition to those specified in the RV tab.",Pseudo Spectral Velocity (in/sec),,,,,
Periods,Periods,PositiveDouble or PositiveDoubleList,Specify period(s) corresponding to IM,"0.5 or 0.1,1.0,1.5",,,,,
Geometric mean,useGeoMean,Bool,"If ground motions have more than one directional component, either each component's IM can be added as a separate surrogate input parameter, or they can be aggregated by using their geometric mean. ",checked,,,,,
